month,hour,Production
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.02457526881720429
1,8,2.5899032258064514
1,9,14.523881720430108
1,10,50.79764516129039
1,11,35.850435483871024
1,12,63.96741935483857
1,13,55.418102150537685
1,14,18.661881720430124
1,15,0.05313978494623658
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,2.5838630952380943
2,7,6.649029761904757
2,8,154.06550000000001
2,9,62.19128571428565
2,10,216.7995059523813
2,11,225.80836904761898
2,12,90.38931547619033
2,13,69.83689880952373
2,14,71.63169047619044
2,15,10.662184523809522
2,16,0.7128035714285712
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.13521505376344092
3,5,12.332908602150544
3,6,76.98828494623663
3,7,398.1221935483875
3,8,516.3910860215041
3,9,273.8563978494627
3,10,628.2961612903229
3,11,625.0481129032257
3,12,215.7564623655914
3,13,1521.5497526881688
3,14,2004.1687419354785
3,15,1966.2468333333318
3,16,993.4313548387092
3,17,1177.0323440860175
3,18,952.3955161290321
3,19,524.0651021505377
3,20,526.6870967741935
3,21,313.8838709677419
3,22,98.48169354838707
3,23,0.0
4,0,0.0
4,1,0.0
4,2,0.011138888888888887
4,3,2.2074444444444445
4,4,14.111405555555526
4,5,159.64557777777802
4,6,271.5090388888886
4,7,881.3880833333319
4,8,724.1677166666667
4,9,495.2672166666659
4,10,615.5667722222225
4,11,727.8881444444446
4,12,433.2791333333326
4,13,844.9812166666655
4,14,527.377172222221
4,15,439.4922
4,16,1153.4819777777768
4,17,1833.7052055555548
4,18,295.1109333333343
4,19,0.7716944444444442
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
5,0,0.0
5,1,0.35296236559139776
5,2,5.071150537634416
5,3,34.48392473118279
5,4,161.04653225806442
5,5,500.19770430107445
5,6,616.0975806451625
5,7,1699.4125
5,8,679.7168279569894
5,9,976.1265913978478
5,10,3560.51243010753
5,11,12588.317075268802
5,12,1169.7934569892464
5,13,589.0806397849457
5,14,1194.8380913978483
5,15,838.9374086021495
5,16,513.1043279569894
5,17,181.1572956989249
5,18,64.51561827956985
5,19,26.141252688172084
5,20,4.207408602150536
5,21,0.04125268817204298
5,22,0.0
5,23,0.0
6,0,0.016683333333333328
6,1,1.7631000000000057
6,2,12.91682222222242
6,3,66.49971111111125
6,4,165.40822777777777
6,5,397.9721611111111
6,6,262.46224444444454
6,7,624.772711111111
6,8,584.5363555555554
6,9,496.81363333333303
6,10,824.4911888888888
6,11,1248.88452777778
6,12,422.6274388888883
6,13,920.4306277777799
6,14,1702.8703888888838
6,15,799.5497944444451
6,16,285.4278111111115
6,17,342.00651111111114
6,18,202.07688888888853
6,19,39.19192777777766
6,20,17.45342777777793
6,21,0.8076222222222166
6,22,0.0034222222222222223
6,23,0.0
7,0,0.0024838709677419356
7,1,0.568381720430106
7,2,8.053188172043065
7,3,47.99942473118301
7,4,368.05575806451566
7,5,233.8213118279571
7,6,376.50144623655837
7,7,412.1902741935479
7,8,1602.5417258064506
7,9,1079.3771827956969
7,10,799.874768817206
7,11,1062.7878763440867
7,12,1708.8841290322573
7,13,917.3241666666653
7,14,1099.7865107526868
7,15,1086.4305322580653
7,16,739.3144462365583
